年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,739757,357914,381843
0,4903,2535,2368
1,5341,2745,2596
2,5122,2647,2475
3,5448,2774,2674
4,5612,2875,2737
5,5623,2868,2755
6,5919,3002,2917
7,5900,3037,2863
8,6065,3058,3007
9,5931,3015,2916
10,5834,3011,2823
11,5694,2957,2737
12,6075,3100,2975
13,5878,2964,2914
14,6030,3112,2918
15,6056,3185,2871
16,5915,3071,2844
17,5705,2925,2780
18,6243,3167,3076
19,6805,3448,3357
20,7365,3706,3659
21,7958,3902,4056
22,9069,4332,4737
23,9895,4799,5096
24,10174,4876,5298
25,10638,4970,5668
26,10477,4915,5562
27,10374,4928,5446
28,10697,5120,5577
29,10155,4796,5359
30,10121,4865,5256
31,10172,4954,5218
32,9908,4743,5165
33,9815,4742,5073
34,9976,4950,5026
35,9886,4912,4974
36,9880,4862,5018
37,9931,4960,4971
38,10680,5316,5364
39,10408,5151,5257
40,10337,5170,5167
41,10154,5145,5009
42,10188,5124,5064
43,10566,5378,5188
44,10602,5376,5226
45,10819,5392,5427
46,10917,5499,5418
47,11249,5653,5596
48,11738,5952,5786
49,12394,6213,6181
50,12199,6004,6195
51,12106,6022,6084
52,11967,5978,5989
53,11893,6011,5882
54,11992,5975,6017
55,11619,5815,5804
56,9853,5038,4815
57,10640,5555,5085
58,10631,5427,5204
59,9826,4940,4886
60,9270,4669,4601
61,8761,4439,4322
62,8264,4178,4086
63,8038,4059,3979
64,7642,3842,3800
65,7326,3697,3629
66,6945,3429,3516
67,6648,3372,3276
68,6474,3256,3218
69,6480,3265,3215
70,6808,3352,3456
71,6744,3193,3551
72,7235,3428,3807
73,8057,3841,4216
74,8059,3770,4289
75,8574,3933,4641
76,6509,2876,3633
77,4662,2029,2633
78,5491,2307,3184
79,6327,2638,3689
80,5948,2486,3462
81,6136,2408,3728
82,5549,2149,3400
83,4866,1872,2994
84,4296,1574,2722
85,4707,1753,2954
86,4363,1613,2750
87,4191,1503,2688
88,3642,1286,2356
89,3113,1049,2064
90,2922,941,1981
91,2350,729,1621
92,1902,606,1296
93,1581,416,1165
94,1213,287,926
95,989,232,757
96,745,189,556
97,533,124,409
98,375,71,304
99,241,46,195
100,150,14,136
101,106,13,93
102,63,7,56
103,49,7,42
104歳以上,45,4,41
不詳者,0,0,0
