年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,738432,358532,379900
0,5506,2817,2689
1,5906,2985,2921
2,5880,2965,2915
3,5937,3031,2906
4,6127,3100,3027
5,5942,2999,2943
6,5967,3050,2917
7,5700,2947,2753
8,5888,3040,2848
9,5905,2991,2914
10,5881,2980,2901
11,5968,3142,2826
12,5832,3023,2809
13,5677,2951,2726
14,5781,2966,2815
15,5916,3005,2911
16,6058,3142,2916
17,6245,3146,3099
18,6792,3449,3343
19,7418,3743,3675
20,7724,3884,3840
21,8368,4141,4227
22,9423,4580,4843
23,10259,4882,5377
24,10443,4949,5494
25,10747,5083,5664
26,10100,4676,5424
27,10249,4904,5345
28,9983,4823,5160
29,10048,4862,5186
30,9848,4704,5144
31,10102,4902,5200
32,10199,4997,5202
33,9950,4934,5016
34,10469,5262,5207
35,10736,5352,5384
36,10458,5227,5231
37,10412,5252,5160
38,10294,5211,5083
39,10571,5421,5150
40,10648,5361,5287
41,10801,5486,5315
42,10832,5444,5388
43,11365,5761,5604
44,11596,5894,5702
45,12214,6150,6064
46,12623,6316,6307
47,12249,6102,6147
48,12205,6111,6094
49,12346,6185,6161
50,12037,6042,5995
51,11871,5898,5973
52,11915,6087,5828
53,9566,4947,4619
54,11164,5805,5359
55,10481,5334,5147
56,9951,5077,4874
57,9110,4622,4488
58,8648,4369,4279
59,8575,4337,4238
60,8269,4193,4076
61,7651,3917,3734
62,7387,3722,3665
63,6935,3552,3383
64,7025,3572,3453
65,6695,3447,3248
66,6933,3485,3448
67,7130,3525,3605
68,7382,3592,3790
69,8065,3884,4181
70,8768,4244,4524
71,8746,4195,4551
72,8579,4017,4562
73,5300,2332,2968
74,5506,2494,3012
75,6778,2945,3833
76,6714,2914,3800
77,6657,2825,3832
78,6684,2777,3907
79,5972,2433,3539
80,5167,2108,3059
81,5198,2050,3148
82,5308,2087,3221
83,5431,2149,3282
84,4912,1939,2973
85,4282,1606,2676
86,4192,1559,2633
87,3600,1263,2337
88,3154,1097,2057
89,2672,913,1759
90,2215,671,1544
91,1970,614,1356
92,1663,491,1172
93,1265,349,916
94,960,274,686
95,653,150,503
96,534,109,425
97,376,69,307
98,267,44,223
99,200,24,176
100,134,15,119
101,73,22,51
102,47,11,36
103,30,3,27
104歳以上,47,4,43
不詳者,0,0,0
