年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,738718,357567,381151
0,4968,2610,2358
1,5345,2747,2598
2,5257,2691,2566
3,5431,2787,2644
4,5680,2889,2791
5,5717,2880,2837
6,5986,3048,2938
7,5940,3034,2906
8,6016,3056,2960
9,5950,3021,2929
10,5827,3019,2808
11,5740,2977,2763
12,6018,3038,2980
13,5909,3010,2899
14,6020,3113,2907
15,6055,3200,2855
16,5815,3013,2802
17,5738,2942,2796
18,6178,3162,3016
19,6730,3404,3326
20,7135,3637,3498
21,7867,3865,4002
22,8508,4112,4396
23,9635,4639,4996
24,10147,4848,5299
25,10513,4927,5586
26,10429,4931,5498
27,10384,4906,5478
28,10724,5143,5581
29,10083,4772,5311
30,10091,4856,5235
31,10204,4929,5275
32,9933,4780,5153
33,9846,4757,5089
34,10004,4947,5057
35,9988,4950,5038
36,9854,4861,4993
37,10022,5009,5013
38,10747,5332,5415
39,10393,5177,5216
40,10310,5201,5109
41,10195,5145,5050
42,10240,5152,5088
43,10583,5329,5254
44,10732,5501,5231
45,10727,5335,5392
46,10984,5521,5463
47,11349,5704,5645
48,11784,5973,5811
49,12552,6295,6257
50,12130,5976,6154
51,11995,5966,6029
52,12077,6053,6024
53,11961,5998,5963
54,11979,6000,5979
55,11860,5968,5892
56,9096,4679,4417
57,11046,5747,5299
58,10569,5354,5215
59,9828,4949,4879
60,9135,4609,4526
61,8690,4391,4299
62,8213,4140,4073
63,7995,4048,3947
64,7608,3828,3780
65,7253,3635,3618
66,6885,3446,3439
67,6716,3384,3332
68,6515,3275,3240
69,6530,3282,3248
70,6857,3347,3510
71,6753,3223,3530
72,7357,3481,3876
73,8149,3877,4272
74,8277,3873,4404
75,8303,3810,4493
76,5959,2611,3348
77,4867,2130,2737
78,5742,2415,3327
79,6331,2651,3680
80,5981,2446,3535
81,6131,2393,3738
82,5470,2136,3334
83,4758,1825,2933
84,4351,1592,2759
85,4748,1787,2961
86,4403,1662,2741
87,4192,1492,2700
88,3518,1225,2293
89,3159,1052,2107
90,2884,927,1957
91,2280,732,1548
92,1940,597,1343
93,1523,395,1128
94,1220,304,916
95,942,216,726
96,764,185,579
97,511,129,382
98,349,61,288
99,246,42,204
100,139,21,118
101,103,12,91
102,59,7,52
103,43,5,38
104歳以上,45,3,42
不詳者,0,0,0
