年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,737317,357156,380161
0,5283,2722,2561
1,5201,2681,2520
2,5502,2800,2702
3,5700,2929,2771
4,5651,2837,2814
5,5994,3040,2954
6,5978,3058,2920
7,6006,3039,2967
8,5954,3023,2931
9,5772,2983,2789
10,5720,2981,2739
11,6039,3050,2989
12,5872,2981,2891
13,5989,3096,2893
14,6011,3176,2835
15,5841,3046,2795
16,5690,2912,2778
17,5938,3053,2885
18,6168,3160,3008
19,6661,3380,3281
20,7170,3619,3551
21,7807,3808,3999
22,8337,4115,4222
23,9645,4638,5007
24,10151,4790,5361
25,10296,4873,5423
26,10203,4853,5350
27,10657,5093,5564
28,10194,4751,5443
29,10132,4840,5292
30,10190,4916,5274
31,9892,4721,5171
32,9800,4732,5068
33,10070,4921,5149
34,10021,4928,5093
35,9935,4922,5013
36,10002,5017,4985
37,10729,5308,5421
38,10531,5252,5279
39,10357,5215,5142
40,10256,5190,5066
41,10207,5129,5078
42,10632,5373,5259
43,10700,5493,5207
44,10863,5410,5453
45,11024,5576,5448
46,11339,5720,5619
47,11766,5963,5803
48,12507,6251,6256
49,12214,6005,6209
50,12143,6049,6094
51,12106,6058,6048
52,11979,6038,5941
53,11964,6005,5959
54,11896,5951,5945
55,9474,4847,4627
56,10992,5732,5260
57,10672,5432,5240
58,9897,4989,4908
59,9289,4695,4594
60,8804,4463,4341
61,8331,4254,4077
62,8061,4059,4002
63,7695,3875,3820
64,7363,3729,3634
65,7012,3503,3509
66,6802,3461,3341
67,6579,3340,3239
68,6592,3313,3279
69,6907,3398,3509
70,6867,3301,3566
71,7422,3535,3887
72,8321,4013,4308
73,8270,3900,4370
74,8642,3993,4649
75,6383,2835,3548
76,4860,2147,2713
77,5756,2448,3308
78,6530,2787,3743
79,6150,2562,3588
80,6369,2548,3821
81,5758,2277,3481
82,5011,1968,3043
83,4568,1718,2850
84,4988,1932,3056
85,4677,1785,2892
86,4518,1658,2860
87,3870,1415,2455
88,3488,1205,2283
89,3254,1088,2166
90,2621,864,1757
91,2215,725,1490
92,1833,519,1314
93,1477,389,1088
94,1211,303,908
95,960,250,710
96,682,174,508
97,483,105,378
98,332,66,266
99,230,34,196
100,160,15,145
101,107,16,91
102,69,11,58
103,37,3,34
104歳以上,43,7,36
不詳者,0,0,0
