年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,745078,360144,384934
0,4924,2480,2444
1,5098,2651,2447
2,5335,2750,2585
3,5213,2725,2488
4,5449,2785,2664
5,5529,2818,2711
6,5706,2890,2816
7,5954,3047,2907
8,5885,3014,2871
9,6097,3095,3002
10,5919,3009,2910
11,5889,3034,2855
12,5742,2966,2776
13,6113,3142,2971
14,5923,3003,2920
15,6067,3085,2982
16,6150,3244,2906
17,6012,3123,2889
18,6244,3221,3023
19,6886,3472,3414
20,7558,3712,3846
21,8012,4045,3967
22,9417,4487,4930
23,9894,4738,5156
24,10314,5001,5313
25,10538,5014,5524
26,10841,5029,5812
27,10761,5033,5728
28,10448,5005,5443
29,10738,5128,5610
30,10354,4941,5413
31,10233,4889,5344
32,10240,4954,5286
33,9967,4810,5157
34,9881,4786,5095
35,10083,4957,5126
36,10057,5018,5039
37,9964,4901,5063
38,9967,4963,5004
39,10640,5298,5342
40,10425,5170,5255
41,10375,5202,5173
42,10181,5178,5003
43,10166,5064,5102
44,10613,5415,5198
45,10534,5328,5206
46,10846,5384,5462
47,10866,5469,5397
48,11215,5650,5565
49,11728,5941,5787
50,12319,6167,6152
51,12166,6023,6143
52,12105,6018,6087
53,11854,5919,5935
54,11829,5967,5862
55,11989,5991,5998
56,11605,5825,5780
57,10064,5115,4949
58,10301,5379,4922
59,10533,5349,5184
60,9756,4907,4849
61,9253,4659,4594
62,8728,4398,4330
63,8154,4072,4082
64,8040,4068,3972
65,7568,3794,3774
66,7270,3651,3619
67,6872,3415,3457
68,6575,3293,3282
69,6465,3222,3243
70,6314,3167,3147
71,6686,3271,3415
72,6676,3147,3529
73,7021,3321,3700
74,7847,3699,4148
75,7885,3634,4251
76,8383,3808,4575
77,6655,2914,3741
78,4453,1884,2569
79,5175,2142,3033
80,6189,2530,3659
81,5736,2350,3386
82,5929,2311,3618
83,5326,2024,3302
84,4691,1746,2945
85,4052,1463,2589
86,4441,1602,2839
87,4089,1477,2612
88,3857,1356,2501
89,3340,1131,2209
90,2780,887,1893
91,2620,818,1802
92,2080,596,1484
93,1642,499,1143
94,1310,343,967
95,1024,216,808
96,768,180,588
97,579,139,440
98,417,86,331
99,256,49,207
100,170,26,144
101,103,12,91
102,64,11,53
103,34,4,30
104歳以上,49,5,44
不詳者,0,0,0
