,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,移出合計,北海道,,,,,,東北,,,,,,,,,,,品種,,,,,,
,,,計,北海道,,,,,計,青森県,,,岩手県,,,宮城県,,福島県,,,,,,,,
,,,,小計,函館,釧路,苫小牧,室蘭,,小計,八戸,尻屋岬,小計,釜石,大船渡,小計,仙台塩釜,小計,小名浜,,,,,,,
合計,,"15,791,781","2,111,167","2,111,167","64,866","218,107","1,826,673","1,521","576,150","11,333","5,845","5,488","15,792","4,352","11,440","285,650","285,650","263,375","260,235",合計,,,,,,
農水産品,,"165,668","17,265","17,265",-,-,"17,265",-,"15,184",625,625,-,205,205,-,"14,354","14,354",-,-,農水産品,,,,,,
1,麦,"10,336","6,415","6,415",-,-,"6,415",-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,"11,574",245,245,-,-,245,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,815,5,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,"9,249","1,920","1,920",-,-,"1,920",-,75,-,-,-,-,-,-,75,75,-,-,4,豆類,,,,,
5,その他雑穀,695,240,240,-,-,240,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,"72,622","7,280","7,280",-,-,"7,280",-,"6,540",-,-,-,-,-,-,"6,540","6,540",-,-,6,野菜・果物,,,,,
7,綿花,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,"12,767",555,555,-,-,555,-,30,-,-,-,-,-,-,30,30,-,-,8,その他農産品,,,,,
9,羊毛,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,"21,167",35,35,-,-,35,-,"1,082",-,-,-,-,-,-,"1,082","1,082",-,-,10,その他畜産品,,,,,
11,水産品,"26,271",570,570,-,-,570,-,"7,457",625,625,-,205,205,-,"6,627","6,627",-,-,11,水産品,,,,,
林産品,,"49,783","5,747","5,747",-,-,"5,747",-,"2,555",-,-,-,-,-,-,"2,555","2,555",-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,"37,687","1,487","1,487",-,-,"1,487",-,"2,555",-,-,-,-,-,-,"2,555","2,555",-,-,13,製材,,,,,
