用途別,甲種防火対象物・訓練実施状況・実施対象物数,甲種防火対象物・訓練実施状況・延べ回数合計,"甲種防火対象物・訓練参加延べ人員（単位・百人）",甲種防火対象物・職員等出向・延べ件数,甲種防火対象物・職員等出向・延べ人員,乙種防火対象物・訓練実施状況・実施対象物数,乙種防火対象物・訓練実施状況・延べ回数合計,乙種防火対象物・訓練参加延べ人員（単位・百人）,乙種防火対象物・職員等出向・延べ件数,乙種防火対象物・職員等出向・延べ人員
平成28年,"40,577","127,983","77,844","8,748","53,422","3,352","7,304","1,806",480,"2,990"
平成29年,"42,527","129,691","79,641","8,540","43,529","3,728","8,032","2,027",428,"2,102"
平成30年,"43,864","135,824","82,618","8,711","42,911","3,810","8,272","2,122",490,"2,376"
令和元年,"44,767","143,029","84,127","7,928","38,327","4,070","8,831","2,078",501,"2,284"
令和2年,"39,384","126,803","66,516","3,070","10,318","3,631","8,028","1,684",234,638
（一）イ,62,131,25,10,32,2,3,-,-,-
（一）ロ,28,60,11,4,13,3,3,-,-,-
（二）イ,3,6,-,1,2,3,5,-,-,-
（二）ロ,288,622,41,3,14,7,7,-,-,-
（二）ハ,2,5,-,-,-,3,8,-,-,-
（二）ニ,138,296,13,-,-,16,24,1,-,-
（三）イ,14,18,-,-,-,3,4,-,-,-
（三）ロ,967,"1,946",113,43,107,1016,"1,680",77,52,133
（四）,"1,938","3,851",573,60,139,425,662,32,51,100
（五）イ,956,"2,223",142,39,108,33,47,1,3,6
（五）ロ,"4,711","7,450","2,653",293,"1,083",159,265,65,5,19
（六）イ?,159,445,243,12,43,2,3,1,-,-
（六）イ?,56,92,11,5,11,1,1,-,-,-
（六）イ?,307,881,429,35,211,1,3,1,-,-
（六）イ?,158,280,47,8,19,4,7,1,1,4
（六）ロ?,"1,423","4,565",968,115,373,3,14,7,-,-
（六）ロ?,7,54,21,1,1,-,-,-,-,-
（六）ロ?,2,38,24,-,-,-,-,-,-,-
（六）ロ?,10,103,42,2,8,-,-,-,-,-
（六）ロ?,88,433,227,12,38,1,2,-,-,-
（六）ハ?,123,330,96,11,38,45,88,13,-,-
（六）ハ?,9,98,26,1,4,1,3,-,-,-
（六）ハ?,1594,18128,14482,275,967,136,1295,481,10,37
（六）ハ?,22,137,66,4,11,8,26,4,1,4
（六）ハ?,214,1094,519,26,105,40,130,34,2,4
（六）ニ,498,2095,3470,88,373,23,69,99,1,4
（七）,1076,3239,10423,181,751,20,41,43,-,-
（八）,133,212,46,33,121,10,14,1,1,2
（九）イ,62,122,6,2,9,68,115,4,-,-
（九）ロ,11,14,1,1,1,32,40,1,-,-
（十）,18,52,15,3,25,31,88,17,-,-
（十一）,186,239,54,31,127,70,83,23,10,72
（十二）イ,204,330,308,20,91,23,32,11,-,-
（十二）ロ,4,6,1,1,3,-,-,-,-,-
（十三）イ,4,4,-,-,-,2,3,1,-,-
（十三）ロ,-,-,-,-,-,-,-,-,-,-
（十四）,164,229,109,13,45,22,51,26,1,5
十五①,389,710,407,61,241,23,40,9,2,11
十五②,3180,5262,3609,123,407,96,154,29,7,20
十五③,1065,2103,838,128,449,304,898,458,23,75
（十六）イ,17245,65180,24859,1288,3847,910,1981,228,62,138
（十六）ロ,1846,3646,1576,133,470,77,126,16,2,4
（十六の二）,9,55,21,1,1,-,-,-,-,-
（十七）,11,19,1,3,30,8,13,-,-,-
